date,symbol,open,high,low,close,volume,amount
2024-06-03,SH600519,1543.69,1544.61,1528.8,1533.08,30261.0,30261.0
2024-06-04,SH600519,1534.19,1549.69,1530.24,1546.89,20841.0,20841.0
2024-06-05,SH600519,1545.69,1552.37,1536.72,1537.69,19056.0,19056.0
2024-06-06,SH600519,1537.35,1545.68,1529.6,1533.5,25610.0,25610.0
2024-06-07,SH600519,1539.81,1539.87,1512.69,1512.87,33525.0,33525.0
2024-06-11,SH600519,1496.68,1498.69,1460.69,1462.69,70247.0,70247.0
2024-06-12,SH600519,1463.69,1483.69,1463.69,1465.37,33171.0,33171.0
2024-06-13,SH600519,1470.46,1470.58,1446.84,1448.69,36186.0,36186.0
2024-06-14,SH600519,1448.69,1457.65,1414.15,1448.69,59514.0,59514.0
2024-06-17,SH600519,1425.98,1442.46,1404.69,1435.19,48318.0,48318.0
2024-06-18,SH600519,1424.58,1448.23,1410.37,1415.19,41258.0,41258.0
2024-06-19,SH600519,1422.55,1428.56,1406.66,1425.56,41262.0,41262.0
2024-06-20,SH600519,1424.56,1440.57,1422.56,1424.66,24711.0,24711.0
2024-06-21,SH600519,1425.06,1429.54,1394.78,1395.56,43320.0,43320.0
2024-06-24,SH600519,1347.56,1413.55,1338.57,1401.11,63840.0,63840.0
2024-06-25,SH600519,1401.56,1427.55,1401.56,1411.21,42098.0,42098.0
2024-06-26,SH600519,1404.56,1425.63,1402.36,1413.78,29570.0,29570.0
2024-06-27,SH600519,1416.56,1418.53,1392.56,1415.05,32822.0,32822.0
2024-06-28,SH600519,1404.56,1419.05,1388.56,1391.95,38582.0,38582.0
2024-07-01,SH600519,1393.44,1397.55,1352.56,1364.94,32161.0,32161.0
2024-07-02,SH600519,1357.56,1422.56,1357.56,1415.26,51853.0,51853.0
2024-07-03,SH600519,1423.56,1437.57,1412.58,1424.56,31573.0,31573.0
2024-07-04,SH600519,1429.56,1436.56,1405.69,1410.3,24380.0,24380.0
2024-07-05,SH600519,1403.56,1417.74,1374.56,1377.56,38829.0,38829.0
2024-07-08,SH600519,1367.56,1382.33,1343.7,1344.56,39527.0,39527.0
2024-07-09,SH600519,1344.56,1379.45,1334.66,1362.59,33621.0,33621.0
2024-07-10,SH600519,1363.81,1390.44,1359.56,1362.15,23763.0,23763.0
2024-07-11,SH600519,1374.53,1393.56,1364.77,1386.65,29020.0,29020.0
2024-07-12,SH600519,1397.57,1410.96,1390.01,1403.38,23386.0,23386.0
2024-07-15,SH600519,1394.56,1412.56,1394.56,1399.46,19176.0,19176.0
2024-07-16,SH600519,1400.56,1406.56,1389.61,1400.56,20316.0,20316.0
2024-07-17,SH600519,1400.66,1427.56,1394.58,1425.96,34311.0,34311.0
2024-07-18,SH600519,1424.06,1439.56,1417.09,1422.07,28870.0,28870.0
2024-07-19,SH600519,1415.37,1453.74,1408.57,1450.18,38943.0,38943.0
2024-07-22,SH600519,1449.59,1454.54,1416.21,1423.56,28543.0,28543.0
2024-07-23,SH600519,1423.56,1425.56,1379.56,1379.56,30944.0,30944.0
2024-07-24,SH600519,1374.76,1388.26,1359.56,1364.58,24123.0,24123.0
2024-07-25,SH600519,1364.58,1372.56,1344.57,1355.05,28347.0,28347.0
2024-07-26,SH600519,1355.05,1362.28,1335.46,1346.75,32354.0,32354.0
2024-07-29,SH600519,1339.56,1346.55,1322.56,1322.58,30869.0,30869.0
2024-07-30,SH600519,1310.54,1314.83,1285.86,1304.55,51779.0,51779.0
2024-07-31,SH600519,1297.66,1351.83,1297.66,1345.84,43272.0,43272.0
2024-08-01,SH600519,1342.56,1344.56,1309.26,1310.72,32038.0,32038.0
2024-08-02,SH600519,1298.16,1321.53,1298.16,1310.01,21928.0,21928.0
2024-08-05,SH600519,1313.44,1350.56,1310.08,1334.57,37736.0,37736.0
2024-08-06,SH600519,1346.56,1348.56,1318.57,1329.26,27444.0,27444.0
2024-08-07,SH600519,1330.06,1346.55,1322.86,1340.06,20622.0,20622.0
2024-08-08,SH600519,1335.56,1372.74,1333.56,1355.25,25131.0,25131.0
2024-08-09,SH600519,1384.59,1393.56,1361.36,1361.36,30138.0,30138.0
2024-08-12,SH600519,1354.56,1367.56,1351.14,1360.66,13632.0,13632.0
2024-08-13,SH600519,1357.56,1359.56,1336.57,1347.57,16308.0,16308.0
2024-08-14,SH600519,1347.57,1349.46,1336.58,1337.86,13414.0,13414.0
2024-08-15,SH600519,1329.59,1360.55,1328.51,1351.45,23039.0,23039.0
2024-08-16,SH600519,1351.35,1360.48,1341.57,1355.76,16455.0,16455.0
2024-08-19,SH600519,1356.56,1383.44,1349.56,1350.0,20433.0,20433.0
2024-08-20,SH600519,1354.46,1354.49,1338.56,1347.28,18591.0,18591.0
2024-08-21,SH600519,1344.56,1352.54,1340.25,1342.14,15092.0,15092.0
2024-08-22,SH600519,1340.56,1344.56,1324.57,1334.61,19527.0,19527.0
2024-08-23,SH600519,1332.56,1348.06,1330.68,1339.55,15320.0,15320.0
2024-08-26,SH600519,1341.56,1348.42,1327.71,1336.56,15628.0,15628.0
2024-08-27,SH600519,1336.56,1337.56,1325.67,1328.63,13657.0,13657.0
2024-08-28,SH600519,1328.63,1330.56,1299.56,1313.56,31664.0,31664.0
2024-08-29,SH600519,1304.56,1342.56,1304.56,1337.86,27472.0,27472.0
2024-08-30,SH600519,1337.56,1382.63,1329.56,1367.75,38739.0,38739.0
2024-09-02,SH600519,1354.56,1362.56,1319.56,1319.56,34135.0,34135.0
2024-09-03,SH600519,1322.56,1339.54,1317.58,1334.56,17888.0,17888.0
2024-09-04,SH600519,1326.56,1343.75,1324.3,1324.56,14211.0,14211.0
2024-09-05,SH600519,1325.06,1331.56,1321.56,1329.44,14503.0,14503.0
2024-09-06,SH600519,1329.56,1330.56,1322.56,1322.56,10321.0,10321.0
2024-09-09,SH600519,1304.57,1318.27,1294.64,1299.56,28638.0,28638.0
2024-09-10,SH600519,1294.58,1317.56,1294.58,1302.56,19803.0,19803.0
2024-09-11,SH600519,1300.16,1310.44,1289.56,1304.56,20996.0,20996.0
2024-09-12,SH600519,1304.56,1309.56,1259.47,1259.62,47948.0,47948.0
2024-09-13,SH600519,1255.56,1256.56,1221.86,1228.69,56005.0,56005.0
2024-09-18,SH600519,1224.56,1224.57,1191.22,1191.46,46185.0,46185.0
2024-09-19,SH600519,1186.56,1217.44,1170.39,1185.56,59988.0,59988.0
2024-09-20,SH600519,1186.06,1198.46,1174.59,1188.48,39982.0,39982.0
2024-09-23,SH600519,1192.56,1218.06,1185.22,1186.1,45550.0,45550.0
2024-09-24,SH600519,1209.65,1297.56,1189.65,1297.16,100413.0,100413.0
2024-09-25,SH600519,1324.61,1351.56,1321.27,1323.56,73954.0,73954.0
2024-09-26,SH600519,1324.52,1454.43,1320.56,1453.56,97278.0,97278.0
2024-09-27,SH600519,1524.56,1553.76,1489.92,1553.76,87922.0,87922.0
2024-09-30,SH600519,1616.56,1684.44,1576.56,1672.56,157293.0,157293.0
2024-10-08,SH600519,1834.56,1834.56,1604.74,1647.56,194709.0,194709.0
2024-10-09,SH600519,1624.56,1624.56,1514.56,1519.71,120197.0,120197.0
2024-10-10,SH600519,1546.82,1592.64,1515.56,1564.56,74603.0,74603.0
2024-10-11,SH600519,1539.96,1564.52,1514.56,1529.55,41915.0,41915.0
2024-10-14,SH600519,1537.56,1545.19,1505.73,1526.55,44812.0,44812.0
2024-10-15,SH600519,1523.56,1525.55,1477.57,1478.81,43571.0,43571.0
2024-10-16,SH600519,1465.44,1474.36,1434.56,1447.06,46664.0,46664.0
2024-10-17,SH600519,1461.56,1462.22,1417.97,1419.16,39460.0,39460.0
2024-10-18,SH600519,1417.56,1492.4,1403.52,1465.56,68619.0,68619.0
2024-10-21,SH600519,1465.77,1474.53,1445.77,1453.36,42008.0,42008.0
2024-10-22,SH600519,1451.12,1484.74,1448.76,1467.56,36269.0,36269.0
2024-10-23,SH600519,1468.67,1501.51,1456.56,1492.06,40088.0,40088.0
2024-10-24,SH600519,1485.56,1499.56,1469.57,1476.76,23923.0,23923.0
