date,symbol,open,high,low,close,volume,amount
2025-05-06,SZ300750,226.0,228.39,223.29,223.72,196877.0,196877.0
2025-05-07,SZ300750,228.54,232.97,228.17,230.7,312810.0,312810.0
2025-05-08,SZ300750,231.58,240.77,230.07,236.66,312856.0,312856.0
2025-05-09,SZ300750,238.16,241.86,236.74,240.36,236933.0,236933.0
2025-05-12,SZ300750,247.09,250.08,245.09,249.09,302315.0,302315.0
2025-05-13,SZ300750,254.09,254.09,247.11,250.86,204806.0,204806.0
2025-05-14,SZ300750,250.86,256.55,248.1,254.69,231463.0,231463.0
2025-05-15,SZ300750,254.71,254.96,251.69,252.27,141119.0,141119.0
2025-05-16,SZ300750,251.23,253.82,249.82,251.45,189001.0,189001.0
2025-05-19,SZ300750,252.59,252.63,249.36,252.09,169740.0,169740.0
2025-05-20,SZ300750,256.53,257.59,247.29,255.09,346424.0,346424.0
2025-05-21,SZ300750,259.08,272.08,257.89,266.17,565245.0,565245.0
2025-05-22,SZ300750,269.89,270.03,260.36,262.46,276081.0,276081.0
2025-05-23,SZ300750,263.1,266.09,259.04,259.08,230004.0,230004.0
2025-05-26,SZ300750,257.09,258.47,244.99,247.99,330122.0,330122.0
2025-05-27,SZ300750,247.98,249.3,244.48,246.08,176680.0,176680.0
2025-05-28,SZ300750,247.7,250.36,245.41,245.69,154563.0,154563.0
2025-05-29,SZ300750,245.09,246.07,241.09,243.94,217883.0,217883.0
2025-05-30,SZ300750,242.99,244.74,239.56,242.09,204337.0,204337.0
2025-06-03,SZ300750,244.09,245.99,242.53,243.24,158412.0,158412.0
2025-06-04,SZ300750,244.59,245.69,242.79,243.14,130402.0,130402.0
2025-06-05,SZ300750,243.45,244.53,240.36,243.59,135259.0,135259.0
2025-06-06,SZ300750,244.09,245.42,240.59,240.97,165515.0,165515.0
2025-06-09,SZ300750,240.97,242.97,237.59,237.67,185498.0,185498.0
2025-06-10,SZ300750,237.09,238.95,234.31,235.23,139325.0,139325.0
2025-06-11,SZ300750,238.18,244.53,236.89,242.59,279934.0,279934.0
2025-06-12,SZ300750,244.09,244.59,240.86,241.9,175696.0,175696.0
2025-06-13,SZ300750,240.19,242.5,238.46,240.29,174032.0,174032.0
2025-06-16,SZ300750,240.09,240.79,237.89,238.75,122176.0,122176.0
2025-06-17,SZ300750,239.05,240.52,237.31,238.35,97650.0,97650.0
2025-06-18,SZ300750,239.07,241.67,237.66,237.66,104606.0,104606.0
2025-06-19,SZ300750,237.39,238.25,233.69,234.19,147985.0,147985.0
2025-06-20,SZ300750,233.15,235.21,231.59,232.35,136883.0,136883.0
2025-06-23,SZ300750,231.39,232.69,230.12,231.7,127099.0,127099.0
2025-06-24,SZ300750,232.67,240.17,232.67,238.01,235011.0,235011.0
2025-06-25,SZ300750,238.59,247.97,238.09,246.99,315377.0,315377.0
2025-06-26,SZ300750,247.97,248.38,244.45,244.88,199145.0,199145.0
2025-06-27,SZ300750,248.59,249.54,242.2,243.08,236201.0,236201.0
2025-06-30,SZ300750,243.59,245.59,241.79,244.31,176234.0,176234.0
2025-07-01,SZ300750,244.59,244.83,241.97,243.59,95323.0,95323.0
2025-07-02,SZ300750,243.59,244.1,241.28,242.54,115714.0,115714.0
2025-07-03,SZ300750,243.56,255.3,242.68,254.68,338037.0,338037.0
2025-07-04,SZ300750,257.1,262.07,253.07,257.89,272060.0,272060.0
2025-07-07,SZ300750,257.89,260.97,250.97,252.98,174665.0,174665.0
2025-07-08,SZ300750,252.79,257.99,251.91,255.4,155923.0,155923.0
2025-07-09,SZ300750,254.29,266.55,254.19,262.89,293884.0,293884.0
2025-07-10,SZ300750,267.08,267.08,260.59,264.09,242393.0,242393.0
2025-07-11,SZ300750,263.59,266.09,262.19,263.59,213282.0,213282.0
2025-07-14,SZ300750,263.09,263.41,258.19,260.59,149789.0,149789.0
2025-07-15,SZ300750,260.59,264.59,258.09,259.84,169526.0,169526.0
2025-07-16,SZ300750,260.59,260.79,255.13,256.49,156265.0,156265.0
2025-07-17,SZ300750,257.46,259.84,256.45,257.59,145110.0,145110.0
2025-07-18,SZ300750,260.79,264.54,257.89,263.29,221866.0,221866.0
2025-07-21,SZ300750,269.09,274.09,265.64,271.75,324863.0,324863.0
2025-07-22,SZ300750,272.09,282.09,271.27,278.75,333090.0,333090.0
2025-07-23,SZ300750,280.25,282.84,278.68,279.11,200190.0,200190.0
2025-07-24,SZ300750,281.09,281.29,275.0,277.29,223891.0,223891.0
2025-07-25,SZ300750,277.29,277.29,273.84,274.89,134326.0,134326.0
2025-07-28,SZ300750,275.11,281.18,273.39,278.39,238973.0,238973.0
2025-07-29,SZ300750,278.79,284.09,278.77,283.91,233946.0,233946.0
2025-07-30,SZ300750,284.29,284.29,268.45,269.18,415943.0,415943.0
2025-07-31,SZ300750,272.89,274.07,256.71,256.71,447104.0,447104.0
2025-08-01,SZ300750,256.89,258.69,254.84,255.16,252500.0,252500.0
2025-08-04,SZ300750,255.09,260.09,253.79,258.57,237682.0,237682.0
2025-08-05,SZ300750,259.59,261.09,255.59,257.79,219760.0,219760.0
2025-08-06,SZ300750,257.31,258.99,255.32,257.09,153233.0,153233.0
2025-08-07,SZ300750,257.09,258.58,254.29,255.14,165481.0,165481.0
2025-08-08,SZ300750,256.09,258.25,254.1,255.57,174282.0,174282.0
2025-08-11,SZ300750,255.57,258.24,254.59,255.75,213309.0,213309.0
2025-08-12,SZ300750,255.59,257.27,249.81,255.34,222407.0,222407.0
2025-08-13,SZ300750,256.86,267.09,256.6,265.69,394668.0,394668.0
2025-08-14,SZ300750,268.98,274.09,266.57,271.98,371708.0,371708.0
2025-08-15,SZ300750,270.47,274.39,268.19,272.76,241092.0,241092.0
2025-08-18,SZ300750,272.76,277.57,270.11,275.09,285288.0,285288.0
2025-08-19,SZ300750,275.09,276.09,268.31,269.89,244286.0,244286.0
2025-08-20,SZ300750,270.59,273.08,265.14,272.29,233535.0,233535.0
2025-08-21,SZ300750,272.36,274.89,271.09,272.09,182698.0,182698.0
2025-08-22,SZ300750,272.02,282.44,271.69,280.27,264219.0,264219.0
2025-08-25,SZ300750,283.09,286.97,279.87,283.37,312297.0,312297.0
2025-08-26,SZ300750,280.11,284.08,278.67,282.59,230245.0,230245.0
2025-08-27,SZ300750,282.09,282.63,271.28,271.39,382584.0,382584.0
2025-08-28,SZ300750,269.15,272.08,265.81,270.5,304664.0,304664.0
2025-08-29,SZ300750,271.4,309.75,271.04,299.27,780139.0,780139.0
2025-09-01,SZ300750,299.59,299.99,292.39,297.09,429964.0,429964.0
2025-09-02,SZ300750,297.12,304.19,292.12,295.96,371169.0,371169.0
2025-09-03,SZ300750,296.59,304.74,296.12,302.09,508975.0,508975.0
2025-09-04,SZ300750,306.56,316.42,293.72,297.12,657548.0,657548.0
2025-09-05,SZ300750,292.99,318.2,292.91,318.2,708198.0,708198.0
2025-09-08,SZ300750,327.09,330.74,316.59,318.46,588346.0,588346.0
2025-09-09,SZ300750,315.89,327.67,310.25,313.09,434024.0,434024.0
2025-09-10,SZ300750,311.08,315.09,306.09,309.13,367527.0,367527.0
2025-09-11,SZ300750,308.64,316.07,302.13,315.64,380345.0,380345.0
2025-09-12,SZ300750,318.99,322.99,315.29,318.09,338713.0,338713.0
2025-09-15,SZ300750,339.1,364.61,337.11,347.79,718410.0,718410.0
2025-09-16,SZ300750,349.2,352.09,341.59,346.51,377445.0,377445.0
2025-09-17,SZ300750,349.89,374.97,347.09,370.19,543771.0,543771.0
2025-09-18,SZ300750,367.68,373.09,353.89,359.98,518897.0,518897.0
2025-09-19,SZ300750,358.09,368.8,354.81,361.58,339149.0,339149.0
2025-09-22,SZ300750,363.59,365.81,355.87,363.14,285278.0,285278.0
2025-09-23,SZ300750,361.09,370.05,353.09,361.24,348493.0,348493.0
2025-09-24,SZ300750,364.09,373.09,359.15,373.02,383145.0,383145.0
2025-09-25,SZ300750,369.69,395.68,369.56,385.94,466393.0,466393.0
2025-09-26,SZ300750,385.11,393.08,373.09,373.49,362633.0,362633.0
2025-09-29,SZ300750,379.43,392.98,379.1,390.46,389647.0,389647.0
2025-09-30,SZ300750,389.09,401.97,389.09,395.09,330313.0,330313.0
2025-10-09,SZ300750,393.07,417.45,392.83,402.98,412088.0,412088.0
2025-10-10,SZ300750,394.09,396.89,372.1,375.04,533118.0,533118.0
2025-10-13,SZ300750,355.95,377.69,355.95,367.59,471510.0,471510.0
2025-10-14,SZ300750,374.09,378.89,348.86,351.09,496399.0,496399.0
2025-10-15,SZ300750,351.59,362.8,347.85,362.39,369934.0,369934.0
2025-10-16,SZ300750,360.59,366.99,357.59,361.59,276295.0,276295.0
2025-10-17,SZ300750,360.59,368.09,350.08,351.23,319058.0,319058.0
2025-10-20,SZ300750,358.09,361.98,352.62,359.59,284324.0,284324.0
2025-10-21,SZ300750,366.09,374.44,356.19,368.99,446329.0,446329.0
2025-10-22,SZ300750,368.99,371.97,361.29,365.95,219459.0,219459.0
2025-10-23,SZ300750,366.89,371.89,362.09,369.54,239981.0,239981.0
2025-10-24,SZ300750,373.06,380.89,371.09,378.86,320416.0,320416.0
2025-10-27,SZ300750,386.09,386.09,369.66,379.27,404510.0,404510.0
2025-10-28,SZ300750,379.25,386.89,376.11,379.57,287083.0,287083.0
2025-10-29,SZ300750,379.09,393.13,377.79,393.09,344740.0,344740.0
2025-10-30,SZ300750,399.07,402.17,389.92,391.38,343061.0,343061.0
2025-10-31,SZ300750,391.09,399.89,381.29,381.86,340484.0,340484.0
2025-11-03,SZ300750,380.09,385.0,368.86,379.95,263682.0,263682.0
2025-11-04,SZ300750,376.15,379.59,367.09,372.04,239391.0,239391.0
2025-11-05,SZ300750,365.94,386.09,365.09,381.79,311425.0,311425.0
2025-11-06,SZ300750,383.09,392.58,381.79,387.77,234475.0,234475.0
2025-11-07,SZ300750,386.59,390.6,381.97,388.46,165549.0,165549.0
2025-11-10,SZ300750,391.49,393.4,376.41,377.6,238960.0,238960.0
2025-11-11,SZ300750,379.09,387.86,377.59,378.69,193032.0,193032.0
2025-11-12,SZ300750,383.87,386.08,377.07,379.47,212998.0,212998.0
2025-11-13,SZ300750,378.14,414.39,378.14,408.69,562654.0,562654.0
2025-11-14,SZ300750,400.09,407.69,396.97,397.21,241721.0,241721.0
2025-11-17,SZ300750,381.09,385.49,375.59,383.87,476855.0,476855.0
2025-11-18,SZ300750,382.09,391.72,374.09,378.09,395658.0,395658.0
2025-11-19,SZ300750,378.59,391.53,378.05,384.19,292667.0,292667.0
2025-11-20,SZ300750,387.99,388.09,370.1,372.48,336743.0,336743.0
2025-11-21,SZ300750,368.09,376.09,363.09,363.09,316313.0,316313.0
2025-11-24,SZ300750,366.89,367.99,360.27,363.64,228458.0,228458.0
2025-11-25,SZ300750,368.09,372.75,363.68,365.45,206332.0,206332.0
2025-11-26,SZ300750,368.59,368.59,363.16,365.91,189107.0,189107.0
2025-11-27,SZ300750,366.09,371.97,363.09,364.29,222003.0,222003.0
2025-11-28,SZ300750,363.59,368.57,359.25,366.29,203403.0,203403.0
2025-12-01,SZ300750,367.85,376.06,367.12,376.06,267510.0,267510.0
2025-12-02,SZ300750,376.59,378.07,370.49,373.17,163485.0,163485.0
2025-12-03,SZ300750,373.18,376.46,368.09,369.17,139911.0,139911.0
2025-12-04,SZ300750,372.28,376.69,368.24,376.44,191658.0,191658.0
2025-12-05,SZ300750,380.29,382.4,375.09,382.18,232916.0,232916.0
