date,symbol,open,high,low,close,volume,amount
2024-05-30,SZ000001,9.68,9.78,9.5,9.56,1325496.0,1325496.0
2024-05-31,SZ000001,9.58,9.63,9.55,9.55,826707.0,826707.0
2024-06-03,SZ000001,9.56,9.57,9.35,9.42,1326697.0,1326697.0
2024-06-04,SZ000001,9.39,9.49,9.35,9.46,981005.0,981005.0
2024-06-05,SZ000001,9.48,9.51,9.31,9.31,1018968.0,1018968.0
2024-06-06,SZ000001,9.34,9.42,9.32,9.34,1049332.0,1049332.0
2024-06-07,SZ000001,9.36,9.45,9.33,9.43,1170126.0,1170126.0
2024-06-11,SZ000001,9.42,9.46,9.23,9.31,1337629.0,1337629.0
2024-06-12,SZ000001,9.29,9.35,9.22,9.32,957426.0,957426.0
2024-06-13,SZ000001,9.33,9.37,9.24,9.24,1203508.0,1203508.0
2024-06-14,SZ000001,9.31,9.39,9.15,9.34,1637990.0,1637990.0
2024-06-17,SZ000001,9.29,9.32,9.24,9.26,681217.0,681217.0
2024-06-18,SZ000001,9.27,9.32,9.2,9.24,700653.0,700653.0
2024-06-19,SZ000001,9.26,9.37,9.24,9.31,796184.0,796184.0
2024-06-20,SZ000001,9.32,9.33,9.21,9.21,629628.0,629628.0
2024-06-21,SZ000001,9.21,9.25,9.11,9.16,830545.0,830545.0
2024-06-24,SZ000001,9.13,9.23,9.04,9.14,947082.0,947082.0
2024-06-25,SZ000001,9.15,9.29,9.14,9.24,769993.0,769993.0
2024-06-26,SZ000001,9.22,9.29,9.18,9.24,628599.0,628599.0
2024-06-27,SZ000001,9.22,9.37,9.16,9.29,928882.0,928882.0
2024-06-28,SZ000001,9.26,9.42,9.25,9.31,918090.0,918090.0
2024-07-01,SZ000001,9.25,9.51,9.2,9.51,1343051.0,1343051.0
2024-07-02,SZ000001,9.46,9.64,9.44,9.56,1384386.0,1384386.0
2024-07-03,SZ000001,9.56,9.59,9.45,9.47,713067.0,713067.0
2024-07-04,SZ000001,9.46,9.54,9.41,9.42,735044.0,735044.0
2024-07-05,SZ000001,9.42,9.45,9.08,9.13,1713354.0,1713354.0
2024-07-08,SZ000001,9.1,9.18,9.01,9.09,868660.0,868660.0
2024-07-09,SZ000001,9.1,9.26,9.07,9.23,1032485.0,1032485.0
2024-07-10,SZ000001,9.23,9.36,9.21,9.3,873865.0,873865.0
2024-07-11,SZ000001,9.37,9.39,9.23,9.29,721392.0,721392.0
2024-07-12,SZ000001,9.28,9.47,9.28,9.47,1214164.0,1214164.0
2024-07-15,SZ000001,9.47,9.51,9.42,9.49,869412.0,869412.0
2024-07-16,SZ000001,9.49,9.53,9.4,9.46,943008.0,943008.0
2024-07-17,SZ000001,9.46,9.58,9.44,9.56,1220168.0,1220168.0
2024-07-18,SZ000001,9.54,9.59,9.46,9.57,1087061.0,1087061.0
2024-07-19,SZ000001,9.54,9.58,9.45,9.53,898723.0,898723.0
2024-07-22,SZ000001,9.52,9.54,9.35,9.39,994481.0,994481.0
